CHANGE_NO,PROJECT_NAME,PROJECT_MANAGER,CHANGE_TYPE,DESCRIPTION,DATE_IDENTIFIED,STATUS,PRIORITY,ASSIGNED_TO,RESOLUTION_EXPECTED,ACTION,AREA_OF_IMPACT,ESCALATION_REQUIRED,DATE_RESOLVED,SYSTEM_AFFECTED,ESTIMATED_DURATION_HOURS,TEAM_SIZE,COMPLEXITY_SCORE,REQUIRES_DOWNTIME,HAS_DEPENDENCIES,BUSINESS_IMPACT,TECHNICAL_RISK,CONFLICT_PROBABILITY,HAS_CONFLICT
CR-00081,مشروع آل محمد بن علي بن جماز Inc,أحمد السعودي,Frontend,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,15/03/2025,Open,Medium,خديجة المطيري,11 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Compliance,YES,,Notification Service,39,6,7.1,YES,YES,Medium,Medium,0.21,0
CR-00082,"مشروع المهيدب, آل سلطان and آل معيض",ليلى سعيد,Infrastructure,تحديث نظام المصادقة الثنائية لمزيد من الأمان,15/08/2025,Needs Review,Medium,أحمد السعودي,11 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Performance,NO,,Audit System,44,10,3.0,NO,NO,Medium,Medium,0.782,1
CR-00083,"مشروع Clark, Cooper and Watts",سارة محمد,Monitoring,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,12/03/2025,Needs Review,Low,رقية الشمري,19 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Schedule,YES,,Load Balancer,54,4,9.0,NO,NO,Medium,Medium,0.135,1
CR-00084,"مشروع Freeman, Whitehead and Mathis",خالد إبراهيم,Configuration,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,30/03/2025,In Progress,Low,فاطمة علي,21 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Security,NO,,Load Balancer,71,5,1.3,NO,YES,High,High,0.126,0
CR-00085,"مشروع الراشد, آل معيض and آل بن ظافر",خديجة المطيري,Backend,تحسين سرعة تحميل الصفحات الرئيسية,29/05/2025,Approved,High,عائشة الزهراني,5 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Security,YES,08/06/2025,Load Balancer,9,5,2.7,NO,YES,Medium,Low,0.63,0
CR-00086,مشروع آل سعود-شربتلي,خالد إبراهيم,Documentation,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,27/03/2025,Complete,Medium,يوسف محمود,8 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Scope,YES,04/04/2025,Authentication Service,45,10,2.9,YES,YES,High,Medium,0.0,0
CR-00087,مشروع Figueroa PLC,خالد إبراهيم,Security,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,24/04/2025,Approved,High,حسان الراشد,6 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Schedule,YES,04/05/2025,Web Server,2,1,2.2,NO,YES,Medium,Medium,0.458,1
CR-00088,"مشروع Smith, Jones and Ware",زينب القرشي,Backend,إضافة دعم اللغات المتعددة للموقع الإلكتروني,26/05/2025,Approved,Medium,فاطمة علي,10 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Schedule,NO,07/06/2025,Audit System,5,8,5.0,NO,YES,Low,Low,0.38,1
CR-00089,"مشروع آل بن ظافر, الحجار and بن لادن",سارة محمد,Mobile,تحديث بروتوكولات الأمان للشبكة الداخلية,27/05/2025,Open,Critical,إبراهيم العتيبي,1 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Compliance,NO,,Audit System,8,1,1.5,NO,YES,Medium,Medium,0.551,0
CR-00090,مشروع آل سعود-آل بن ظافر,عمر حسان,Configuration,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,26/06/2025,In Progress,Medium,أسماء الغامدي,6 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Schedule,NO,,Backup System,35,3,3.5,NO,NO,High,Medium,0.214,0
CR-00091,مشروع Nolan-Flynn,عبدالرحمن الحربي,Integration,إضافة دعم اللغات المتعددة للموقع الإلكتروني,05/08/2025,On Hold,Medium,أسماء الغامدي,10 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Schedule,NO,,Search Engine,28,2,8.7,NO,YES,Medium,Medium,0.398,0
CR-00092,مشروع آل علي-مهنا,عبدالرحمن الحربي,Mobile,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,09/08/2025,Open,High,زينب القرشي,5 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Schedule,NO,,API Gateway,16,6,4.8,YES,YES,Medium,Medium,0.466,1
CR-00093,"مشروع آل خضير, الجفالي and المهيدب",عمر حسان,Infrastructure,إضافة ميزة التصفية المتقدمة في نظام البحث العام,13/08/2025,On Hold,High,زينب القرشي,3 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Performance,NO,,SMS Gateway,23,3,6.0,NO,NO,Medium,High,0.877,1
CR-00094,"مشروع Brady, Frost and Young",زينب القرشي,Mobile,تحديث بروتوكولات الأمان للشبكة الداخلية,24/07/2025,In Progress,Medium,سارة محمد,10 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Resources,NO,,Search Engine,46,6,1.9,NO,YES,Medium,Medium,0.137,0
CR-00095,مشروع الدباغ Inc,خديجة المطيري,Backend,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,03/07/2025,In Progress,Medium,فاطمة علي,12 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Scope,NO,,Web Server,18,7,8.6,NO,NO,Medium,High,0.554,1
CR-00096,"مشروع الجابر, الدباغ and كانو",حسان الراشد,Integration,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,02/08/2025,Open,High,نور عبدالله,2 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Resources,YES,,Search Engine,21,6,4.2,YES,YES,High,Low,0.679,0
CR-00097,مشروع آل صفوان-آل خضير,أحمد السعودي,Frontend,إضافة ميزة التصفية المتقدمة في نظام البحث العام,11/04/2025,In Progress,Critical,إبراهيم العتيبي,3 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Security,NO,,Audit System,7,7,5.1,NO,YES,Medium,Low,0.221,0
CR-00098,مشروع Garrison and Sons,أسماء الغامدي,Security,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,05/04/2025,Rejected,Low,عمر حسان,20 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Compliance,NO,,File Storage System,12,7,5.4,YES,NO,Low,Medium,0.165,1
CR-00099,مشروع الجفالي-أبا الخيل,مريم خليل,Configuration,إضافة نظام مراقبة الأداء في الوقت الفعلي,17/06/2025,Open,Medium,عبدالعزيز الدوسري,8 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Resources,NO,,Reporting System,36,1,3.0,YES,YES,Medium,Medium,0.034,0
CR-00100,مشروع آل العسكري Ltd,مريم خليل,Database,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,27/07/2025,Approved,High,فاطمة علي,3 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Compliance,NO,02/08/2025,User Management System,11,7,2.6,YES,NO,High,Medium,0.83,1
CR-00101,مشروع الجابر-آل معيض,سارة محمد,Mobile,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,01/06/2025,Approved,Medium,أحمد السعودي,13 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Schedule,NO,19/06/2025,Notification Service,39,6,6.2,YES,YES,Low,Medium,0.122,0
CR-00102,مشروع الجفالي-فصيل,نور عبدالله,Configuration,إضافة ميزة التصدير إلى ملفات Excel و PDF,20/07/2025,Open,Low,عبدالرحمن الحربي,19 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Performance,NO,,Backup System,16,2,4.9,NO,NO,Medium,Medium,0.0,0
CR-00103,"مشروع Zavala, Herrera and Crosby",مريم خليل,Backend,تحديث بروتوكولات الأمان للشبكة الداخلية,23/03/2025,Needs Review,High,محمد الأحمد,6 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Performance,NO,,Backup System,14,3,1.7,NO,YES,Low,Low,0.757,1
CR-00104,مشروع آل عايض-بن لادن,خالد إبراهيم,API,تحسين أداء استعلامات قاعدة البيانات المعقدة,05/08/2025,Approved,High,فاطمة علي,6 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Resources,NO,16/08/2025,Cache Server,8,4,2.6,NO,NO,High,Low,0.705,0
CR-00105,مشروع Rodriguez Group,عبدالعزيز الدوسري,Monitoring,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,04/04/2025,Approved,High,عبدالعزيز الدوسري,3 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Performance,YES,14/04/2025,Authentication Service,22,6,2.4,NO,NO,Medium,Medium,0.339,0
CR-00106,"مشروع Hartman, Graham and Joyce",عائشة الزهراني,Documentation,إضافة دعم اللغات المتعددة للموقع الإلكتروني,13/03/2025,Open,Low,عمر حسان,30 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Compliance,NO,,Load Balancer,40,8,1.3,NO,YES,Medium,Medium,0.239,0
CR-00107,مشروع بقشان-آل عطفة,عبدالعزيز الدوسري,Infrastructure,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,29/05/2025,In Progress,Medium,سارة محمد,6 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Scope,NO,,Authentication Service,43,6,6.4,NO,YES,Medium,Low,0.678,1
CR-00108,مشروع Fletcher Inc,نور عبدالله,Frontend,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,02/07/2025,Approved,Medium,ليلى سعيد,12 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Compliance,NO,19/07/2025,Payment Gateway,10,8,5.7,NO,YES,High,Low,0.195,1
CR-00109,مشروع الراشد-آل جعفر,أسماء الغامدي,Frontend,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,30/07/2025,In Progress,Medium,محمد الأحمد,10 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Performance,NO,,SMS Gateway,22,2,6.0,NO,YES,Medium,High,0.016,0
CR-00110,"مشروع Edwards, Charles and Cortez",عائشة الزهراني,Infrastructure,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,02/06/2025,Approved,Medium,علي المالكي,14 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Schedule,NO,21/06/2025,Reporting System,13,5,6.0,NO,NO,Medium,Low,0.324,0
CR-00111,"مشروع Parker, Ortiz and Powell",إبراهيم العتيبي,Security,إضافة ميزة التصفية المتقدمة في نظام البحث العام,07/08/2025,Rejected,High,زينب القرشي,7 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Performance,YES,,Web Server,24,1,4.3,NO,NO,High,High,0.449,0
CR-00112,"مشروع Martinez, Fisher and Bentley",مريم خليل,Backend,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,11/04/2025,Complete,Medium,إبراهيم العتيبي,12 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Budget,NO,26/04/2025,Email Service,16,6,8.9,NO,NO,Medium,Medium,0.4,1
CR-00113,"مشروع بقشان, أبا الخيل and الخرافي",أسماء الغامدي,Frontend,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,01/08/2025,Needs Review,High,عبدالرحمن الحربي,5 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Security,NO,,Monitoring Dashboard,6,6,7.1,NO,NO,Low,High,0.249,0
CR-00114,مشروع آل مقطة-آل علي,رقية الشمري,Documentation,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,25/04/2025,In Progress,Medium,عائشة الزهراني,9 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Compliance,NO,,Monitoring Dashboard,32,8,7.9,YES,NO,Low,Medium,0.07,0
CR-00115,"مشروع Lawson, Morris and Ramos",خالد إبراهيم,Mobile,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,01/06/2025,Needs Review,Medium,سارة محمد,11 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Compliance,NO,,Cache Server,14,6,6.0,YES,NO,Medium,Medium,0.145,0
CR-00116,"مشروع العقيل, آل صفوان and كانو",عبدالرحمن الحربي,Analytics,إضافة دعم اللغات المتعددة للموقع الإلكتروني,22/03/2025,Needs Review,Medium,خالد إبراهيم,6 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Schedule,NO,,Cache Server,22,4,8.4,NO,YES,Low,Low,0.0,0
CR-00117,مشروع المشاولة-كانو,عمر حسان,Database,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,24/05/2025,Needs Review,High,ليلى سعيد,2 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Performance,NO,,Backup System,14,2,8.6,NO,NO,Medium,High,0.951,1
CR-00118,مشروع Cardenas and Sons,خالد إبراهيم,Security,إضافة ميزة البحث الصوتي في التطبيق,09/08/2025,Rejected,High,رقية الشمري,3 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Budget,YES,,Web Server,3,2,1.2,NO,YES,Medium,Low,0.286,0
CR-00119,مشروع Drake and Sons,مريم خليل,Frontend,تحسين أداء استعلامات قاعدة البيانات المعقدة,20/04/2025,Open,High,مريم خليل,7 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Budget,NO,,Search Engine,21,4,4.8,NO,YES,Medium,High,0.358,1
CR-00120,مشروع آل قصير Group,إبراهيم العتيبي,Documentation,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,02/08/2025,In Progress,High,ليلى سعيد,2 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Quality,NO,,Authentication Service,17,5,4.9,NO,YES,Medium,Medium,0.479,1
